1;37.582481,126.913233 37.581779,126.912698 37.580886,126.912029 37.580065,126.91139 37.579207,126.910733 37.577897,126.909697
2;37.577851,126.909788 37.579162,126.910825 37.58002,126.911482 37.580841,126.912121 37.581735,126.912791 37.582437,126.913325
1;37.577843,126.909705 37.577465,126.9102 37.576635,126.911232 37.575744,126.912372 37.575604,126.912602 37.575483,126.912826 37.57541,126.913049 37.57532,126.913523
3;37.575403,126.913549 37.575492,126.913082 37.575559,126.912878 37.575674,126.912665 37.575809,126.912443 37.576696,126.911309 37.577526,126.910276 37.577905,126.90978
1;37.574146,126.905961 37.573002,126.907239 37.572675,126.907631 37.572476,126.907946 37.572261,126.908374 37.571503,126.90992 37.570606,126.911787 37.570179,126.912674 37.570081,126.912922
1;37.570352,126.913011 37.570936,126.911783 37.571763,126.910089 37.572523,126.908457 37.5727,126.908119 37.572859,126.907872 37.573177,126.907485 37.574389,126.90614
2;37.568629,126.916549 37.568836,126.916114 37.569893,126.91399 37.570352,126.913011
1;37.570083,126.912918 37.568346,126.91649
1;37.571757,126.921326 37.569849,126.918745 37.569569,126.918392 37.569392,126.918191 37.569141,126.917932 37.568383,126.917199 37.568177,126.917006 37.567932,126.916756 37.567549,126.916303 37.567152,126.915745 37.56679,126.915097 37.566646,126.914802 37.566483,126.914427 37.566337,126.913973 37.564982,126.909075
2;37.562871,126.902345 37.564146,126.906882 37.566156,126.914172 37.566289,126.914549 37.566466,126.91491 37.566609,126.915234 37.566965,126.915878 37.567403,126.916505 37.567787,126.916969 37.568017,126.917205 37.568334,126.917493 37.568994,126.918128 37.569207,126.918349 37.569425,126.918599 37.569626,126.918847 37.570433,126.919957 37.571818,126.921775 37.572538,126.922741
3;37.582427,126.913244 37.582286,126.913454 37.582086,126.913692 37.581702,126.914129 37.581604,126.914243 37.581089,126.914866 37.580845,126.915162 37.580466,126.915604 37.580203,126.91591 37.580098,126.916025 37.579982,126.916151 37.579789,126.91637 37.579475,126.916791 37.579265,126.917194 37.578378,126.918887 37.578267,126.9191 37.578065,126.919483 37.577895,126.919869 37.577791,126.920196 37.57771,126.920581 37.577616,126.921228
3;37.5777,126.921247 37.577793,126.920605 37.577872,126.92023 37.577973,126.919915 37.578138,126.919539 37.578338,126.919159 37.57845,126.918946 37.579336,126.917253 37.579543,126.916858 37.579849,126.916447 37.580039,126.916232 37.580154,126.916106 37.58026,126.91599 37.580524,126.915683 37.580903,126.91524 37.581148,126.914944 37.581663,126.914321 37.58176,126.914208 37.582144,126.913771 37.582348,126.913528 37.582492,126.913314
3;37.575319,126.913527 37.575227,126.914242 37.575182,126.914644 37.575165,126.914903 37.575163,126.915216 37.57518,126.915788 37.575176,126.91601 37.575149,126.916192 37.575078,126.916493 37.575,126.916702 37.574975,126.916864 37.57498,126.917018 37.574991,126.917304 37.574975,126.917443 37.574931,126.917586 37.574882,126.9177 37.574865,126.917732
3;37.575076,126.917304 37.575065,126.917014 37.575061,126.916872 37.575082,126.916736 37.575158,126.916531 37.575232,126.916217 37.575261,126.916022 37.575266,126.915787 37.575248,126.915214 37.57525,126.914908 37.575267,126.914656 37.575311,126.914258 37.575403,126.913545
2;37.577688,126.9212 37.577487,126.920946 37.576803,126.920114 37.575988,126.919121 37.575734,126.918804 37.575566,126.918595 37.575429,126.918377 37.575257,126.918038 37.575215,126.917976 37.575166,126.917924 37.575101,126.917875 37.575005,126.917796 37.574927,126.917719
3;37.574875,126.917804 37.574955,126.917884 37.575055,126.917967 37.575116,126.918012 37.575155,126.918053 37.575188,126.918102 37.57536,126.91844 37.575503,126.918667 37.575674,126.918881 37.575928,126.919198 37.576743,126.920191 37.577427,126.921023 37.577628,126.921276
3;37.575117,126.917642 37.575076,126.917299
3;37.57493699999999,126.917791 37.574955,126.917756 37.575009,126.917631 37.575059,126.91747 37.575076,126.917314
2;37.574865,126.917732 37.574764,126.91793 37.574403,126.918516 37.57427,126.91872 37.573862,126.919315 37.573328,126.919991 37.572803,126.920663 37.57217,126.921459
3;37.572231,126.921535 37.572863,126.920739 37.573389,126.920067 37.573925,126.919388 37.574336,126.918789 37.57447,126.918583 37.574834,126.917992 37.574937,126.917791
1;37.572232,126.92146 37.571373,126.920299 37.571076,126.919828 37.570822,126.919506 37.57073,126.919386 37.570051,126.918473 37.569712,126.918021
3;37.570615,126.919561 37.570701,126.919669 37.570954,126.920034 37.571045,126.920155 37.571313,126.920376 37.572169,126.921534
1;37.571759,126.922131 37.571716,126.922067 37.571531,126.921736 37.571492,126.92166 37.57138,126.92149 37.570268,126.920015 37.570102,126.919822 37.569395,126.918973 37.569174,126.9187
2;37.569114,126.918777 37.569336,126.919051 37.570044,126.919901 37.570208,126.920092 37.571316,126.921562 37.571423,126.921724 37.57146,126.921796 37.571648,126.922133 37.571694,126.922201
